Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN ULP SRIBAWONO,"Jl. Raya No.93, Mataram Baru, Kec. Mataram Baru, Kabupaten Lampung Timur, Lampung 34199",Buka 24 Jam,3.00,700.70 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:56:49
SPKLU PLN AIR BANGIS,"JL. H.BAKRI SULAIMAN, Aia Bangih, Sungai Beremas, West Pasaman Regency, Sumatra Barat 26573",Buka 24 Jam,5.00,268.95 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:15:13
SPKLU HOTEL ASTON SERANG,"Jl. Syekh Moh. Nawawi Albantani No. 29, Cilaku, Kec. Curug, Kota Serang",Buka 24 Jam,5.00,805.67 km,1/2 Konektor Tersedia,"('22 kW', '22 kW')","(1, 0)",2025-05-15 11:11:28
SPKLU IT PLN,"Jl. Duri Cengkareng Raya No.3, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, DKI Jakarta 11750",Buka 24 Jam,4.64,844.79 km,1/1 Konektor Tersedia,"('25 kW',)","(1,)",2025-05-15 11:38:30
SPKLU PLN ULP BATURAJA,"Jl. Jend. Ahmad Yani, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121",Buka 24 Jam,0.00,492.05 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:33:01
SPKLU RSU Bhakti Asih,"Jl. Raden Saleh Blok Lurah No.55C, RT.001/RW.004, Karang Tengah, Kec. Karang Tengah, Kota Tangerang, Banten 15157",Buka 24 Jam,4.30,847.65 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 11:45:24
SPKLU TRANSMART PALEMBANG CITY CENTRE,"Jl. Radial, 26 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30127",Buka 24 Jam,5.00,440.28 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:26:44
SPKLU REST AREA KM 49-A LAMPUNG,"REST AREA KM 49A JL TRANS SUMATERA, LAMPUNG",Buka 24 Jam,3.88,704.57 km,2/5 Konektor Tersedia,"('50 kW', '50 kW', '22 kW', 'A CCS2', 'B CCS2')","(0, 0, 0, 1, 1)",2025-05-15 10:57:22
SPKLU PLN ULP LIPAT KAIN,"Lipat Kain, Kec. Kampar Kiri, Kabupaten Kampar, Riau 28471",Buka 24 Jam,5.00,75.50 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 09:48:38
SPKLU HVT Rest Area KM 14B,"Jl. Tol Merak Jakarta KM 14, Kunciran Jaya, Kec. Pinang Kota Tangerang",Buka 24 Jam,4.54,845.04 km,3/3 Konektor Tersedia,"('22 kW', '60 kW', '60 kW')","(1, 1, 1)",2025-05-15 11:39:48
